boat_name,vessel_type,builder,hull_no,delivery_date,capacity,speed,classification,registry,dim_length_oa,dim_breadth,dim_depth,dim_draft,ton_gross_tonnage,ton_deadweight,engine_engine_model,engine_power_output
Super Liner Ogasawara,Passenger/Cargo Ship,"Mitsui Engineering & Shipbuilding Co., Ltd. (Mes) Tamano Shipyard",,,,39,,Techno-Seaways Inc.,140,29.8,10.5,2,2005,14500,,
Akashia,High-Speed Ferry,"Mitsubishi Heavy Industries, Ltd.",,28/06/2004,"Number Of Passengers: 820, Trucks & Trailers (12M): 158, Cars: 65",30.5,JG,"Shin Nihonkai Ferry Co., Ltd.",224.82,26,20.4,7.2,34181,6649,"2 X Wartsila 12V46C Diesels, 1 X Abb Azipod + 1 X Cpp","2 x 12,600kW"
Hamanasu,High-Speed Ferry,"Mitsubishi Heavy Industries, Ltd.",,25/06/2004,"Number Of Passengers: 820, Trucks & Trailers (12M): 158, Cars: 65",30.5,JG,"Shin Nihonkai Ferry Co., Ltd.",224.82,26,20.4,7.2,34181,6649,"2 X Wartsila 12V46C Diesels, 1 X Abb Azipod + 1 X Cpp","2 x 12,600kW"
MOL Priority,Overpanamax Container Carrier,"Ishikawajima-Harima Heavy Industries Co., Ltd. (Ihi)","60,390Kw",17/06/2002,"6,400Teus",27.8,ClassNK,,284.56,40,24.2,14,74071,74453,"Mitsui O.S.K. Lines, Ltd.",DU-Sulzer 11RTA96C diesel
SUZURAN,Ropax Ferry,"Mitsubishi Heavy Industries, Ltd.",,14/06/2012,"Lane Meter:2,000 M For Trailers, 300 M For Private Cars",27.5,JG,"Shin Nihonkai Ferry Co., Ltd.",224.5,26,10,7.4,2276,34400,"8,700Kw X 2 Units (Main Engine), 12.9Mw X 1 Unit (Pod System)",
MOL PARAMOUNT,"6,350Teu Type Container Carrier","Koyo Dockyard Co., Ltd.",Panama,,"6,350Teus",26,ClassNK,Leo Ocean S. A.,293.19,40,26,24.3,71892,72968,Mitsui Man B&W 11K98Mc (Mark 6) X 1 Unit,"62,920kw x 94.0rpm"
APL FLORIDA,Container Carrier,"Koyo Dockyard Co., Ltd.",2237,,,26,ClassNK,Liberian Owner,293.18,40,24.3,14,71787,72912,B&W 11K98Mc (Mark Vi) Diesel X 1 Unit,
MOL PRESENCE,Container Carrier,"Koyo Dockyard Co., Ltd.",Panama,,"6,350Teu",26,ClassNK,Southern Route Maritime S.A.,293.18,40,24.3,19,71776,72912,Mitsui Man B&W 11K98Mc (Mark Vi),"62,920kW x 94.0rpm"
COSCO DALIAN,Container Carrier,"Imabari Shipbuilding Co., Ltd./Koyo Dockyard Co., Ltd.",2192,,,25.6,BV,South Great Shipping Inc.,278.94,40,31,24,66380,67209,Mitsui Man-B&W 10K98Mc Diesel X 1 Unit,"77,770ps"
APL ANTWERP,Container Carrier,Southern Route Maritime S.A.,S-2387,17/05/2013,"81,000Teus",25.5,ClassNK,,320.37,46,24.9,14.524,87865,90647,Mitsui Man B&W 11K98Me (Mark 7) Diesel,
MOL COSMOS,"8,102Teu Type Container Carrier","Koyo Dockyard Co., Ltd.",Panama,20/07/2008,"8,102Teu",25.5,LR,Luster Maritime S.A./Higaki Sangyo Kaisha Ltd.,320.37,46,24.9,14.5,88089,90466,Mitsui Man B&W 11K98Mc (Mk Vii) Diesel X 1 Unit,"66,100kw x 97.0rpm"
MOL Efficiency,Large Container Carrier,"Mitsubishi Heavy Industries, Ltd. (Mhi) At Its Kobe Shipyard & Engine Works",1246,,"4,646Teus",25.5,ABS,,294.09,32.22,21.85,16,53822,63160,"Mitsui O.S.K. Lines, Ltd. (Mol)",Mitsubishi Sulzer 9RTA96C diesel x 1 unit
